Year,Date,Holiday Name,Scope,Day of Week
2023,2023-12-25,Weihnachtstag,Cantonal,Monday
2023,2023-12-26,Stephanstag,Cantonal,Tuesday
2024,2024-01-01,Neujahrstag,Cantonal,Monday
2024,2024-01-02,Berchtoldstag,Cantonal,Tuesday
2024,2024-03-29,Karfreitag,Cantonal,Friday
2024,2024-04-01,Ostermontag,Cantonal,Monday
2024,2024-04-15,Sechseläuten,Local (City),Monday
2024,2024-05-01,Tag der Arbeit,Cantonal,Wednesday
2024,2024-05-09,Auffahrt,Cantonal,Thursday
2024,2024-05-20,Pfingstmontag,Cantonal,Monday
2024,2024-08-01,Bundesfeier,Federal,Thursday
2024,2024-09-09,Knabenschiessen,Local (City),Monday
2024,2024-12-25,Weihnachtstag,Cantonal,Wednesday
2024,2024-12-26,Stephanstag,Cantonal,Thursday
2025,2025-01-01,Neujahrstag,Cantonal,Wednesday
2025,2025-01-02,Berchtoldstag,Cantonal,Thursday
2025,2025-04-18,Karfreitag,Cantonal,Friday
2025,2025-04-21,Ostermontag,Cantonal,Monday
2025,2025-04-28,Sechseläuten,Local (City),Monday
2025,2025-05-01,Tag der Arbeit,Cantonal,Thursday
2025,2025-05-29,Auffahrt,Cantonal,Thursday
2025,2025-06-09,Pfingstmontag,Cantonal,Monday
2025,2025-08-01,Bundesfeier,Federal,Friday
2025,2025-09-15,Knabenschiessen,Local (City),Monday
2025,2025-12-25,Weihnachtstag,Cantonal,Thursday
2025,2025-12-26,Stephanstag,Cantonal,Friday
2026,2026-01-01,Neujahrstag,Cantonal,Thursday
2026,2026-01-02,Berchtoldstag,Cantonal,Friday
2026,2026-04-03,Karfreitag,Cantonal,Friday
2026,2026-04-06,Ostermontag,Cantonal,Monday
2026,2026-04-20,Sechseläuten,Local (City),Monday
2026,2026-05-01,Tag der Arbeit,Cantonal,Friday
2026,2026-05-14,Auffahrt,Cantonal,Thursday
2026,2026-05-25,Pfingstmontag,Cantonal,Monday
2026,2026-08-01,Bundesfeier,Federal,Saturday
2026,2026-09-14,Knabenschiessen,Local (City),Monday
2026,2026-12-25,Weihnachtstag,Cantonal,Friday
2026,2026-12-26,Stephanstag,Cantonal,Saturday
